Distrito local,Cve Mpio,Nombre Municipio,Secc,Listado Nominal Total,PRIO
6,19,Comitán de Domínguez,284,2131,NO
6,19,Comitán de Domínguez,2153,2102,NO
6,19,Comitán de Domínguez,2200,2075,NO
6,19,Comitán de Domínguez,2127,2005,NO
6,19,Comitán de Domínguez,2199,2002,NO
6,19,Comitán de Domínguez,240,1946,NO
6,19,Comitán de Domínguez,282,1882,NO
6,19,Comitán de Domínguez,2155,1875,NO
6,19,Comitán de Domínguez,279,1867,NO
6,19,Comitán de Domínguez,267,1814,NO
6,19,Comitán de Domínguez,283,1744,NO
6,19,Comitán de Domínguez,273,1737,NO
6,19,Comitán de Domínguez,270,1726,NO
6,19,Comitán de Domínguez,277,1669,NO
6,19,Comitán de Domínguez,290,1654,NO
6,19,Comitán de Domínguez,286,1640,NO
6,19,Comitán de Domínguez,243,1569,NO
6,19,Comitán de Domínguez,268,1470,NO
6,19,Comitán de Domínguez,271,1401,NO
6,19,Comitán de Domínguez,250,1400,NO
6,19,Comitán de Domínguez,275,1393,NO
6,19,Comitán de Domínguez,287,1388,NO
6,19,Comitán de Domínguez,2154,1349,NO
6,19,Comitán de Domínguez,254,1343,NO
6,19,Comitán de Domínguez,281,1332,NO
6,19,Comitán de Domínguez,291,1241,NO
6,19,Comitán de Domínguez,272,1199,NO
6,19,Comitán de Domínguez,280,1198,NO
6,19,Comitán de Domínguez,251,1162,NO
6,19,Comitán de Domínguez,288,1161,NO
6,19,Comitán de Domínguez,245,1144,NO
6,19,Comitán de Domínguez,276,1036,NO
6,19,Comitán de Domínguez,247,996,NO
6,19,Comitán de Domínguez,285,972,NO
6,19,Comitán de Domínguez,246,965,NO
6,19,Comitán de Domínguez,241,832,NO
6,19,Comitán de Domínguez,258,821,NO
6,19,Comitán de Domínguez,269,788,NO
6,19,Comitán de Domínguez,274,671,NO
6,19,Comitán de Domínguez,278,632,NO
6,19,Comitán de Domínguez,292,616,NO
6,19,Comitán de Domínguez,253,600,NO
6,19,Comitán de Domínguez,252,507,NO
7,59,Ocosingo,820,9680,SI
7,59,Ocosingo,819,5489,SI
7,59,Ocosingo,835,4450,SI
7,59,Ocosingo,815,4305,SI
24,59,Ocosingo,843,3721,SI
7,59,Ocosingo,818,3632,SI
24,59,Ocosingo,839,3466,SI
7,59,Ocosingo,844,3256,SI
7,59,Ocosingo,862,3133,SI
7,59,Ocosingo,845,3110,SI
7,59,Ocosingo,859,3097,SI
7,59,Ocosingo,846,3000,SI
7,59,Ocosingo,863,2931,SI
7,59,Ocosingo,2082,2919,SI
7,59,Ocosingo,2253,2882,SI
7,59,Ocosingo,2178,2821,SI
7,59,Ocosingo,858,2804,SI
7,59,Ocosingo,861,2798,SI
7,59,Ocosingo,2179,2750,SI
7,59,Ocosingo,831,2728,SI
7,59,Ocosingo,853,2621,SI
7,59,Ocosingo,2180,2576,SI
7,59,Ocosingo,833,2562,SI
24,59,Ocosingo,830,2504,SI
7,59,Ocosingo,860,2490,NO
7,59,Ocosingo,856,2468,NO
7,59,Ocosingo,865,2466,NO
24,59,Ocosingo,825,2420,NO
24,59,Ocosingo,829,2403,NO
7,59,Ocosingo,817,2266,NO
7,59,Ocosingo,847,2253,NO
7,59,Ocosingo,854,2250,NO
7,59,Ocosingo,871,2233,NO
7,59,Ocosingo,850,2216,NO
7,59,Ocosingo,832,2190,NO
7,59,Ocosingo,2181,2181,NO
7,59,Ocosingo,841,2174,NO
7,59,Ocosingo,828,2163,NO
7,59,Ocosingo,2269,2145,NO
7,59,Ocosingo,2255,2050,NO
7,59,Ocosingo,834,1996,NO
24,59,Ocosingo,840,1921,NO
7,59,Ocosingo,866,1852,NO
7,59,Ocosingo,2254,1768,NO
24,59,Ocosingo,837,1706,NO
7,59,Ocosingo,872,1683,NO
24,59,Ocosingo,836,1662,NO
24,59,Ocosingo,823,1642,NO
24,59,Ocosingo,822,1634,NO
7,59,Ocosingo,2268,1434,NO
24,59,Ocosingo,838,1394,NO
7,59,Ocosingo,2260,1368,NO
7,59,Ocosingo,827,1349,NO
7,59,Ocosingo,2279,1292,NO
7,59,Ocosingo,2276,1291,NO
7,59,Ocosingo,881,1272,NO
7,59,Ocosingo,2080,1225,NO
7,59,Ocosingo,2262,1141,NO
7,59,Ocosingo,2261,1117,NO
7,59,Ocosingo,2257,1102,NO
7,59,Ocosingo,2273,1096,NO
7,59,Ocosingo,2258,1072,NO
7,59,Ocosingo,2079,974,NO
7,59,Ocosingo,2267,884,NO
24,59,Ocosingo,821,881,NO
7,59,Ocosingo,2270,823,NO
7,59,Ocosingo,2278,804,NO
7,59,Ocosingo,2272,799,NO
7,59,Ocosingo,2083,723,NO
7,59,Ocosingo,2274,714,NO
7,59,Ocosingo,2077,708,NO
7,59,Ocosingo,852,668,NO
7,59,Ocosingo,851,640,NO
7,59,Ocosingo,2264,626,NO
24,59,Ocosingo,824,582,NO
7,59,Ocosingo,2271,554,NO
7,59,Ocosingo,2078,531,NO
7,59,Ocosingo,2256,529,NO
7,59,Ocosingo,2265,528,NO
7,59,Ocosingo,2076,508,NO
7,59,Ocosingo,2266,449,NO
7,59,Ocosingo,2259,412,NO
7,59,Ocosingo,2277,327,NO
7,59,Ocosingo,2275,291,NO
7,59,Ocosingo,2081,250,NO
7,59,Ocosingo,2263,194,NO
20,52,Las Margaritas,720,4947,SI
20,52,Las Margaritas,719,4018,SI
20,52,Las Margaritas,722,3793,SI
20,52,Las Margaritas,721,3637,SI
20,52,Las Margaritas,724,3385,SI
20,52,Las Margaritas,730,3031,SI
20,52,Las Margaritas,736,2963,SI
20,52,Las Margaritas,731,2933,SI
20,52,Las Margaritas,740,2887,SI
20,52,Las Margaritas,737,2815,SI
20,52,Las Margaritas,734,2800,SI
20,52,Las Margaritas,741,2631,SI
20,52,Las Margaritas,743,2569,SI
20,52,Las Margaritas,742,2515,SI
20,52,Las Margaritas,735,2432,SI
20,52,Las Margaritas,739,2418,SI
20,52,Las Margaritas,718,2414,NO
20,52,Las Margaritas,729,2410,NO
20,52,Las Margaritas,2137,2394,NO
20,52,Las Margaritas,752,2144,NO
20,52,Las Margaritas,749,2143,NO
20,52,Las Margaritas,745,1924,NO
20,52,Las Margaritas,738,1858,NO
20,52,Las Margaritas,2329,1814,NO
20,52,Las Margaritas,728,1795,NO
20,52,Las Margaritas,755,1733,NO
20,52,Las Margaritas,753,1718,NO
20,52,Las Margaritas,2339,1693,NO
20,52,Las Margaritas,726,1633,NO
20,52,Las Margaritas,2335,1602,NO
20,52,Las Margaritas,750,1600,NO
20,52,Las Margaritas,754,1551,NO
20,52,Las Margaritas,2340,1491,NO
20,52,Las Margaritas,759,1489,NO
20,52,Las Margaritas,727,1475,NO
20,52,Las Margaritas,2138,1407,NO
20,52,Las Margaritas,2344,1290,NO
20,52,Las Margaritas,2337,1065,NO
20,52,Las Margaritas,2343,822,NO
20,52,Las Margaritas,746,804,NO
20,52,Las Margaritas,2334,797,NO
20,52,Las Margaritas,2330,630,NO
20,52,Las Margaritas,2345,609,NO
20,52,Las Margaritas,2346,598,NO
20,52,Las Margaritas,2347,577,NO
20,52,Las Margaritas,2333,540,NO
20,52,Las Margaritas,2338,534,NO
20,52,Las Margaritas,2342,511,NO
20,52,Las Margaritas,2341,492,NO
20,52,Las Margaritas,2336,469,NO
20,52,Las Margaritas,2332,463,NO
20,52,Las Margaritas,2331,265,NO
